iter	Passed	Remaining
438	1290	1649
439	1292	1645
440	1295	1641
441	1297	1638
442	1300	1635
443	1303	1631
444	1305	1627
445	1307	1624
446	1310	1620
447	1313	1617
448	1315	1614
449	1318	1610
450	1320	1607
451	1322	1603
452	1324	1599
453	1327	1596
454	1330	1594
455	1333	1591
456	1335	1587
457	1338	1584
458	1341	1581
459	1343	1577
460	1346	1574
461	1349	1571
462	1351	1567
463	1354	1564
464	1357	1562
465	1360	1559
466	1363	1556
467	1366	1553
468	1369	1550
469	1371	1546
470	1374	1543
471	1377	1541
472	1382	1540
473	1385	1537
474	1388	1535
475	1391	1531
476	1394	1528
477	1397	1525
478	1400	1523
479	1402	1519
480	1405	1516
481	1408	1513
482	1411	1510
483	1414	1508
484	1417	1505
485	1420	1502
486	1422	1498
487	1426	1496
488	1428	1492
489	1431	1490
490	1434	1487
491	1438	1485
492	1441	1482
493	1444	1479
494	1447	1476
495	1449	1472
496	1452	1470
497	1455	1467
498	1458	1464
499	1461	1461
500	1465	1459
501	1468	1456
502	1471	1453
503	1474	1450
504	1477	1448
505	1479	1444
506	1482	1441
507	1485	1438
508	1488	1436
509	1491	1433
510	1495	1431
511	1498	1428
512	1501	1425
513	1504	1422
514	1507	1420
515	1510	1417
516	1513	1414
517	1516	1411
518	1519	1407
519	1522	1405
520	1526	1403
521	1530	1401
522	1534	1399
523	1537	1396
524	1540	1393
525	1543	1390
526	1546	1388
527	1548	1384
528	1551	1381
529	1553	1378
530	1556	1374
531	1559	1371
532	1562	1368
533	1567	1367
534	1571	1365
535	1573	1362
536	1577	1359
537	1579	1356
538	1583	1353
539	1586	1351
540	1588	1348
541	1592	1345
542	1595	1342
543	1598	1339
544	1600	1336
545	1604	1333
546	1606	1330
547	1609	1327
548	1612	1325
549	1615	1322
550	1618	1319
551	1621	1315
552	1624	1312
553	1627	1309
554	1630	1307
555	1633	1304
556	1636	1301
557	1639	1298
558	1642	1295
559	1645	1292
560	1648	1289
561	1651	1286
562	1653	1283
563	1656	1280
564	1659	1277
565	1661	1274
566	1665	1271
567	1668	1268
568	1670	1265
569	1674	1263
570	1677	1260
571	1680	1257
572	1684	1255
573	1687	1252
574	1689	1249
575	1693	1246
576	1696	1243
577	1699	1240
578	1701	1237
579	1705	1234
580	1708	1231
581	1711	1229
582	1714	1225
583	1717	1223
584	1720	1220
585	1723	1217
586	1725	1214
587	1728	1210
588	1731	1208
589	1734	1205
590	1738	1202
591	1740	1199
592	1744	1196
593	1746	1193
594	1749	1191
595	1752	1187
596	1756	1185
597	1759	1182
598	1762	1179
599	1765	1176
600	1768	1173
601	1770	1170
602	1773	1167
603	1776	1164
604	1779	1161
605	1782	1159
606	1784	1155
607	1787	1152
608	1789	1149
609	1793	1146
610	1796	1143
611	1798	1140
612	1802	1137
613	1804	1134
614	1808	1131
615	1810	1128
616	1813	1125
617	1815	1122
618	1818	1119
619	1821	1116
620	1823	1112
621	1826	1110
622	1829	1106
623	1832	1103
624	1834	1100
625	1836	1097
626	1839	1094
627	1841	1090
628	1844	1087
629	1846	1084
630	1849	1081
631	1852	1078
632	1854	1075
633	1857	1072
634	1860	1069
635	1864	1066
636	1867	1063
637	1869	1060
638	1872	1057
639	1875	1054
640	1878	1051
641	1880	1048
642	1883	1045
643	1886	1042
644	1889	1039
645	1891	1036
646	1894	1033
647	1896	1030
648	1899	1027
649	1901	1024
650	1905	1021
651	1908	1018
652	1910	1015
653	1913	1012
654	1917	1009
655	1920	1007
656	1922	1003
657	1925	1000
658	1927	997
659	1929	994
660	1932	991
661	1934	987
662	1936	984
663	1939	981
664	1941	978
665	1944	975
666	1947	972
667	1949	968
668	1951	965
669	1953	962
670	1956	959
671	1959	956
672	1961	953
673	1963	949
674	1966	946
675	1968	943
676	1969	939
677	1972	936
678	1974	933
679	1977	930
680	1980	927
681	1982	924
682	1986	921
683	1990	919
684	1993	916
685	1994	913
686	1997	910
687	1999	906
688	2001	903
689	2004	900
690	2006	897
691	2008	894
692	2011	891
693	2014	888
694	2017	885
695	2019	882
696	2022	879
697	2024	875
698	2026	872
699	2028	869
700	2030	866
701	2033	863
702	2035	860
703	2037	856
704	2040	853
705	2042	850
706	2044	847
707	2048	844
708	2050	841
709	2052	838
710	2054	835
711	2056	831
712	2058	828
713	2060	825
714	2062	822
715	2065	819
716	2067	816
717	2069	812
718	2071	809
719	2074	806
720	2076	803
721	2079	800
722	2081	797
723	2083	794
724	2085	791
725	2087	788
726	2089	784
727	2091	781
728	2093	778
729	2095	775
730	2097	771
731	2099	768
732	2101	765
733	2103	762
734	2105	759
735	2107	755
736	2109	752
737	2111	749
738	2113	746
739	2115	743
740	2117	740
741	2119	736
742	2120	733
743	2122	730
744	2124	727
745	2126	723
746	2128	720
747	2130	717
748	2132	714
749	2135	711
750	2137	708
751	2139	705
752	2141	702
753	2144	699
754	2146	696
755	2148	693
756	2150	690
757	2152	687
758	2155	684
759	2157	681
760	2158	678
761	2161	675
762	2163	672
763	2165	668
764	2167	665
765	2170	662
766	2171	659
767	2174	656
768	2175	653
769	2177	650
770	2179	647
771	2180	644
772	2182	641
773	2184	637
774	2186	634
775	2188	631
776	2190	628
777	2192	625
778	2194	622
779	2196	619
780	2198	616
781	2201	613
782	2203	610
783	2205	607
784	2207	604
785	2209	601
786	2211	598
787	2213	595
788	2215	592
789	2218	589
790	2220	586
791	2222	583
792	2224	580
793	2226	577
794	2228	574
795	2229	571
796	2231	568
797	2233	565
798	2235	562
799	2238	559
800	2240	556
801	2241	553
802	2244	550
803	2246	547
804	2247	544
805	2249	541
806	2252	538
807	2253	535
808	2255	532
809	2257	529
810	2259	526
811	2262	523
812	2264	520
813	2266	517
814	2268	514
815	2271	512
816	2273	509
817	2275	506
818	2278	503
819	2280	500
820	2282	497
821	2284	494
822	2286	491
823	2289	488
824	2291	486
825	2293	483
826	2295	480
827	2298	477
828	2300	474
829	2303	471
830	2305	468
831	2307	465
832	2310	463
833	2311	460
834	2313	457
835	2316	454
836	2318	451
837	2321	448
838	2323	445
839	2326	443
840	2328	440
841	2330	437
842	2332	434
843	2334	431
844	2336	428
845	2338	425
846	2340	422
847	2342	419
848	2344	417
849	2347	414
850	2349	411
851	2351	408
852	2353	405
853	2355	402
854	2357	399
855	2359	396
856	2362	394
857	2363	391
858	2366	388
859	2368	385
860	2371	382
861	2373	380
862	2375	377
863	2378	374
864	2380	371
865	2382	368
866	2384	365
867	2386	362
868	2389	360
869	2391	357
870	2393	354
871	2396	351
872	2398	348
873	2400	346
874	2402	343
875	2405	340
876	2406	337
877	2408	334
878	2412	332
879	2414	329
880	2417	326
881	2419	323
882	2421	320
883	2424	318
884	2426	315
885	2429	312
886	2432	309
887	2434	307
888	2437	304
889	2439	301
890	2442	298
891	2444	295
892	2448	293
893	2450	290
894	2452	287
895	2455	285
896	2458	282
897	2460	279
898	2463	276
899	2465	273
900	2468	271
901	2471	268
902	2473	265
903	2476	262
904	2478	260
905	2481	257
906	2483	254
907	2486	251
908	2488	249
909	2490	246
910	2492	243
911	2494	240
912	2496	237
913	2498	235
914	2501	232
915	2503	229
916	2506	226
917	2508	224
918	2510	221
919	2513	218
920	2515	215
921	2517	212
922	2519	210
923	2521	207
924	2524	204
925	2526	201
926	2528	199
927	2531	196
928	2534	193
929	2536	190
930	2538	188
931	2540	185
932	2542	182
933	2544	179
934	2546	177
935	2548	174
936	2550	171
937	2552	168
938	2554	165
939	2556	163
940	2558	160
941	2560	157
942	2563	154
943	2565	152
944	2567	149
945	2569	146
946	2571	143
947	2573	141
948	2575	138
949	2577	135
950	2579	132
951	2582	130
952	2584	127
953	2586	124
954	2588	121
955	2590	119
956	2592	116
957	2594	113
958	2596	111
959	2598	108
960	2601	105
961	2603	102
962	2605	100
963	2608	97
964	2610	94
965	2612	91
966	2614	89
967	2616	86
968	2618	83
969	2620	81
970	2622	78
971	2624	75
972	2627	72
973	2629	70
974	2631	67
975	2633	64
976	2635	62
977	2637	59
978	2639	56
979	2641	53
980	2643	51
981	2647	48
982	2649	45
983	2652	43
984	2654	40
985	2656	37
986	2659	35
987	2661	32
988	2663	29
989	2665	26
990	2667	24
991	2669	21
992	2671	18
993	2673	16
994	2676	13
995	2679	10
996	2682	8
997	2685	5
998	2687	2
999	2690	0
